year,edition,country,gold,silver,bronze,total,season
1896,1896 Summer Olympics,Australia,2,0,0,2,Summer
1896,1896 Summer Olympics,Austria,2,1,2,5,Summer
1896,1896 Summer Olympics,Denmark,1,2,3,6,Summer
1896,1896 Summer Olympics,France,5,4,2,11,Summer
1896,1896 Summer Olympics,Germany,6,5,2,13,Summer
1896,1896 Summer Olympics,Great Britain,2,3,2,7,Summer
1896,1896 Summer Olympics,Greece,10,18,19,47,Summer
1896,1896 Summer Olympics,Hungary,2,1,3,6,Summer
1896,1896 Summer Olympics,Mixed team,1,0,1,2,Summer
1896,1896 Summer Olympics,Switzerland,1,2,0,3,Summer
1896,1896 Summer Olympics,United States,11,7,2,20,Summer
1900,1900 Summer Olympics,Australia,0,0,3,3,Summer
1900,1900 Summer Olympics,Austria,0,3,3,6,Summer
1900,1900 Summer Olympics,Belgium,6,6,6,18,Summer
1900,1900 Summer Olympics,Bohemia,0,1,1,2,Summer
1900,1900 Summer Olympics,Cuba,1,1,0,2,Summer
1900,1900 Summer Olympics,Denmark,1,3,2,6,Summer
1900,1900 Summer Olympics,France,31,41,40,112,Summer
1900,1900 Summer Olympics,Germany,4,3,2,9,Summer
1900,1900 Summer Olympics,Great Britain,20,8,9,37,Summer
1900,1900 Summer Olympics,Hungary,1,2,2,5,Summer
1900,1900 Summer Olympics,India,0,2,0,2,Summer
1900,1900 Summer Olympics,Italy,3,2,0,5,Summer
1900,1900 Summer Olympics,Mixed team,1,2,3,6,Summer
1900,1900 Summer Olympics,Netherlands,1,2,3,6,Summer
1900,1900 Summer Olympics,Norway,0,2,3,5,Summer
1900,1900 Summer Olympics,Spain,1,0,0,1,Summer
1900,1900 Summer Olympics,Sweden,0,0,1,1,Summer
1900,1900 Summer Olympics,Switzerland,6,3,1,10,Summer
1900,1900 Summer Olympics,United States,20,13,15,48,Summer
1904,1904 Summer Olympics,Canada,4,1,1,6,Summer
1904,1904 Summer Olympics,Cuba,3,0,0,3,Summer
1904,1904 Summer Olympics,Germany,5,4,5,14,Summer
1904,1904 Summer Olympics,Great Britain,1,1,0,2,Summer
1904,1904 Summer Olympics,Greece,1,0,1,2,Summer
1904,1904 Summer Olympics,Hungary,2,1,1,4,Summer
1904,1904 Summer Olympics,Mixed team,1,0,0,1,Summer
1904,1904 Summer Olympics,United States,80,85,83,248,Summer
1906,1906 Intercalated,Australia,0,0,3,3,Intercalated
1906,1906 Intercalated,Austria,3,3,3,9,Intercalated
1906,1906 Intercalated,Belgium,2,2,3,7,Intercalated
1906,1906 Intercalated,Bohemia,0,0,2,2,Intercalated
1906,1906 Intercalated,Canada,1,1,0,2,Intercalated
1906,1906 Intercalated,Denmark,3,2,1,6,Intercalated
1906,1906 Intercalated,Finland,2,1,1,4,Intercalated
1906,1906 Intercalated,France,15,9,16,40,Intercalated
1906,1906 Intercalated,Germany,4,6,5,15,Intercalated
1906,1906 Intercalated,Great Britain,8,11,5,24,Intercalated
1906,1906 Intercalated,Greece,8,14,13,35,Intercalated
1906,1906 Intercalated,Hungary,2,5,3,10,Intercalated
1906,1906 Intercalated,Italy,7,6,3,16,Intercalated
1906,1906 Intercalated,Netherlands,0,1,2,3,Intercalated
1906,1906 Intercalated,Norway,1,1,0,2,Intercalated
1906,1906 Intercalated,Sweden,2,5,7,14,Intercalated
1906,1906 Intercalated,Switzerland,4,3,1,8,Intercalated
1906,1906 Intercalated,United States,12,6,6,24,Intercalated
1908,1908 Summer Olympics,Australasia,1,2,2,5,Summer
1908,1908 Summer Olympics,Austria,0,0,1,1,Summer
1908,1908 Summer Olympics,Belgium,1,5,2,8,Summer
1908,1908 Summer Olympics,Bohemia,0,0,2,2,Summer
1908,1908 Summer Olympics,Canada,3,3,10,16,Summer
1908,1908 Summer Olympics,Denmark,0,2,3,5,Summer
1908,1908 Summer Olympics,Finland,1,1,3,5,Summer
1908,1908 Summer Olympics,France,5,5,9,19,Summer
1908,1908 Summer Olympics,Germany,3,5,5,13,Summer
1908,1908 Summer Olympics,Great Britain,56,51,39,146,Summer
1908,1908 Summer Olympics,Greece,0,3,1,4,Summer
1908,1908 Summer Olympics,Hungary,3,4,2,9,Summer
1908,1908 Summer Olympics,Italy,2,2,0,4,Summer
1908,1908 Summer Olympics,Netherlands,0,0,2,2,Summer
1908,1908 Summer Olympics,Norway,2,3,3,8,Summer
1908,1908 Summer Olympics,Russian Federation,1,2,0,3,Summer
1908,1908 Summer Olympics,South Africa,1,1,0,2,Summer
1908,1908 Summer Olympics,Sweden,8,6,11,25,Summer
1908,1908 Summer Olympics,United States,23,12,12,47,Summer
1912,1912 Summer Olympics,Australasia,2,2,3,7,Summer
1912,1912 Summer Olympics,Austria,0,2,2,4,Summer
1912,1912 Summer Olympics,Belgium,2,1,3,6,Summer
1912,1912 Summer Olympics,Canada,3,2,3,8,Summer
1912,1912 Summer Olympics,Denmark,1,6,5,12,Summer
1912,1912 Summer Olympics,Finland,9,8,9,26,Summer
1912,1912 Summer Olympics,France,7,5,3,15,Summer
1912,1912 Summer Olympics,Germany,6,13,7,26,Summer
1912,1912 Summer Olympics,Great Britain,10,15,16,41,Summer
1912,1912 Summer Olympics,Greece,1,0,1,2,Summer
1912,1912 Summer Olympics,Hungary,3,2,3,8,Summer
1912,1912 Summer Olympics,Italy,5,1,2,8,Summer
1912,1912 Summer Olympics,Netherlands,0,0,3,3,Summer
1912,1912 Summer Olympics,Norway,3,2,5,10,Summer
1912,1912 Summer Olympics,Russian Federation,0,2,3,5,Summer
1912,1912 Summer Olympics,South Africa,4,2,0,6,Summer
1912,1912 Summer Olympics,Sweden,23,25,17,65,Summer
1912,1912 Summer Olympics,Switzerland,1,0,0,1,Summer
1912,1912 Summer Olympics,United States,26,19,19,64,Summer
1920,1920 Summer Olympics,Australia,0,2,1,3,Summer
1920,1920 Summer Olympics,Belgium,16,12,14,42,Summer
1920,1920 Summer Olympics,Brazil,1,1,1,3,Summer
1920,1920 Summer Olympics,Canada,3,3,3,9,Summer
1920,1920 Summer Olympics,Czechoslovakia,0,0,2,2,Summer
1920,1920 Summer Olympics,Denmark,3,9,1,13,Summer
1920,1920 Summer Olympics,Estonia,1,2,0,3,Summer
1920,1920 Summer Olympics,Finland,15,10,9,34,Summer
1920,1920 Summer Olympics,France,9,20,13,42,Summer
1920,1920 Summer Olympics,Great Britain,14,16,13,43,Summer
1920,1920 Summer Olympics,Greece,0,1,0,1,Summer
1920,1920 Summer Olympics,Italy,14,6,5,25,Summer
1920,1920 Summer Olympics,Japan,0,2,0,2,Summer
1920,1920 Summer Olympics,Luxembourg,0,1,0,1,Summer
1920,1920 Summer Olympics,Netherlands,4,2,5,11,Summer
1920,1920 Summer Olympics,New Zealand,0,0,1,1,Summer
1920,1920 Summer Olympics,Norway,13,10,9,32,Summer
1920,1920 Summer Olympics,South Africa,3,4,3,10,Summer
1920,1920 Summer Olympics,Spain,0,2,0,2,Summer
1920,1920 Summer Olympics,Sweden,19,20,25,64,Summer
1920,1920 Summer Olympics,Switzerland,2,2,7,11,Summer
1920,1920 Summer Olympics,United States,41,27,27,95,Summer
1924,1924 Summer Olympics,Argentina,1,3,2,6,Summer
1924,1924 Summer Olympics,Australia,3,1,2,6,Summer
1924,1924 Winter Olympics,Austria,2,1,0,3,Winter
1924,1924 Summer Olympics,Austria,0,3,1,4,Summer
1924,1924 Winter Olympics,Belgium,0,0,1,1,Winter
1924,1924 Summer Olympics,Belgium,3,7,3,13,Summer
1924,1924 Winter Olympics,Canada,1,0,0,1,Winter
1924,1924 Summer Olympics,Canada,0,3,1,4,Summer
1924,1924 Summer Olympics,Czechoslovakia,1,4,5,10,Summer
1924,1924 Summer Olympics,Denmark,2,6,3,11,Summer
1924,1924 Summer Olympics,Estonia,1,1,4,6,Summer
1924,1924 Winter Olympics,Finland,4,4,3,11,Winter
1924,1924 Summer Olympics,Finland,14,13,10,37,Summer
1924,1924 Winter Olympics,France,0,0,3,3,Winter
1924,1924 Summer Olympics,France,14,15,12,41,Summer
1924,1924 Winter Olympics,Great Britain,1,1,2,4,Winter
1924,1924 Summer Olympics,Great Britain,9,14,12,35,Summer
1924,1924 Summer Olympics,Greece,1,0,0,1,Summer
1924,1924 Summer Olympics,Haiti,0,0,1,1,Summer
1924,1924 Summer Olympics,Hungary,2,4,4,10,Summer
1924,1924 Summer Olympics,Ireland,0,1,1,2,Summer
1924,1924 Summer Olympics,Italy,8,3,5,16,Summer
1924,1924 Summer Olympics,Japan,0,0,1,1,Summer
1924,1924 Summer Olympics,Luxembourg,1,1,0,2,Summer
