country,gold,silver,bronze,total,country_pt
United States,1329,1070,940,3339,United States
Germany,380,427,404,1211,Germany
Soviet Union,473,376,355,1204,Soviet Union
Great Britain,352,381,417,1150,Great Britain
France,340,403,395,1138,France
Italy,302,273,302,877,Italy
Sweden,221,240,252,713,Sweden
People's Republic of China,285,231,197,713,People's Republic of China
Australia,201,222,263,686,Australia
Japan,213,209,235,657,Japan
Canada,162,213,235,610,Canada
Netherlands,218,181,198,597,Netherlands
Norway,226,189,177,592,Norway
Hungary,195,175,196,566,Hungary
Russian Federation,194,169,188,551,Russian Federation
East Germany,192,165,162,519,East Germany
Finland,151,152,186,489,Finland
Switzerland,124,136,139,399,Switzerland
Austria,99,128,140,367,Austria
Republic of Korea,129,121,116,366,Republic of Korea
Poland,83,114,160,357,Poland
Romania,102,104,124,330,Romania
Denmark,68,91,104,263,Denmark
Spain,89,80,88,257,Spain
Cuba,86,70,88,244,Cuba
West Germany,67,82,94,243,West Germany
Bulgaria,58,91,88,237,Bulgaria
Brazil,41,70,106,217,Brazil
New Zealand,81,53,60,194,New Zealand
Belgium,53,61,77,191,Belgium
Czechoslovakia,51,58,62,171,Czechoslovakia
China,71,57,40,168,China
Greece,45,60,62,167,Greece
Ukraine,44,44,76,164,Ukraine
Unified Team,54,44,37,135,Unified Team
Kenya,39,44,41,124,Kenya
ROC,28,46,46,120,ROC
Türkiye,41,30,43,114,Türkiye
South Africa,28,41,44,113,South Africa
Czechia,33,33,44,110,Czechia
Belarus,21,37,47,105,Belarus
Argentina,22,28,46,96,Argentina
Jamaica,27,39,28,94,Jamaica
Kazakhstan,16,27,44,87,Kazakhstan
Yugoslavia,26,32,29,87,Yugoslavia
Mexico,13,28,39,80,Mexico
Islamic Republic of Iran,24,23,29,76,Islamic Republic of Iran
Croatia,21,33,18,72,Croatia
Ethiopia,24,15,23,62,Ethiopia
Korea,21,14,23,58,Korea
Democratic People's Republic of Korea,16,17,24,57,Democratic People's Republic of Korea
India,10,10,37,57,India
Azerbaijan,9,16,31,56,Azerbaijan
Slovenia,14,18,23,55,Slovenia
Serbia,22,8,23,53,Serbia
Uzbekistan,19,8,23,50,Uzbekistan
Ireland,16,11,20,47,Ireland
Georgia,13,15,19,47,Georgia
Estonia,14,11,19,44,Estonia
Chinese Taipei,10,11,23,44,Chinese Taipei
Morocco,8,5,31,44,Morocco
Slovakia,14,18,11,43,Slovakia
Thailand,11,11,19,41,Thailand
Indonesia,10,14,16,40,Indonesia
Egypt,9,11,19,39,Egypt
Colombia,5,16,17,38,Colombia
Lithuania,6,9,18,33,Lithuania
Portugal,7,11,15,33,Portugal
Mongolia,2,12,17,31,Mongolia
Latvia,5,14,12,31,Latvia
Nigeria,3,11,13,27,Nigeria
Israel,4,10,10,24,Israel
Armenia,2,11,9,22,Armenia
Algeria,7,4,9,20,Algeria
Trinidad and Tobago,3,5,11,19,Trinidad and Tobago
Venezuela,3,7,9,19,Venezuela
Tunisia,6,4,8,18,Tunisia
Philippines,3,5,10,18,Philippines
Fiji,2,14,1,17,Fiji
